Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-eqdz,branch-m64g,branch-jfu9,branch-n4qm,branch-vz7v,randomiser-q5z8,branch-gyqg,branch-lrfh,checkpoint-pq3t,checkpoint-p1b9,branch-pusb,Manipulation: Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,aud1,aud2,correctResponse,ANSWER,foil
11,1765235561497,08/12/2025 23:12:41,1765235548342,-5,08/12/2025 18:12:28,250842,10,task-1ie9,,51270061,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Form Recognition (2AFC),4,day1done,attention_pass,audio-Success,,,A,,,,,eligible,formRecog_all,formRecog_all,4,1,1,Screen 1,advancementZone,continue_button,1922.5,,,0,,,,,,,,recog-Remind,,,,,
12,1765235563100,08/12/2025 23:12:43,1765235549950,-5,08/12/2025 18:12:29,250842,10,task-1ie9,,51270061,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Form Recognition (2AFC),4,day1done,attention_pass,audio-Success,,,A,,,,,eligible,formRecog_all,formRecog_all,6,1,1,opt1,Zone1,content_audio,1545.9000000003725,,,0,,,,,,,2,recog-trial,destor.mp3,dester.mp3,2,dester,destor
13,1765235564973,08/12/2025 23:12:44,1765235551550,-5,08/12/2025 18:12:31,250842,10,task-1ie9,,51270061,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Form Recognition (2AFC),4,day1done,attention_pass,audio-Success,,,A,,,,,eligible,formRecog_all,formRecog_all,6,1,2,opt2,Zone1,content_audio,1573.2000000011176,,,0,,,,,,,2,recog-trial,destor.mp3,dester.mp3,2,dester,destor
14,1765235565150,08/12/2025 23:12:45,1765235552004,-5,08/12/2025 18:12:32,250842,10,task-1ie9,,51270061,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Form Recognition (2AFC),4,day1done,attention_pass,audio-Success,,,A,,,,,eligible,formRecog_all,formRecog_all,6,1,3,response,Zone1,response_keyboard,429.30000000074506,,2,1,1,,,,,,2,recog-trial,destor.mp3,dester.mp3,2,dester,destor
15,1765235566147,08/12/2025 23:12:46,1765235552998,-5,08/12/2025 18:12:32,250842,10,task-1ie9,,51270061,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Form Recognition (2AFC),4,day1done,attention_pass,audio-Success,,,A,,,,,eligible,formRecog_all,formRecog_all,6,1,4,ITI,Zone1,timelimit_screen,1001.0999999999985,,,0,,,,,1,,2,recog-trial,destor.mp3,dester.mp3,2,dester,destor
16,1765235567855,08/12/2025 23:12:47,1765235554710,-5,08/12/2025 18:12:34,250842,10,task-1ie9,,51270061,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Form Recognition (2AFC),4,day1done,attention_pass,audio-Success,,,A,,,,,eligible,formRecog_all,formRecog_all,9,2,1,opt1,Zone1,content_audio,1653,,,0,,,,,,,2,recog-trial,nusty.mp3,nusto.mp3,1,nusty,nusto
17,1765235569511,08/12/2025 23:12:49,1765235556370,-5,08/12/2025 18:12:36,250842,10,task-1ie9,,51270061,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Form Recognition (2AFC),4,day1done,attention_pass,audio-Success,,,A,,,,,eligible,formRecog_all,formRecog_all,9,2,2,opt2,Zone1,content_audio,1635.7000000011176,,,0,,,,,,,2,recog-trial,nusty.mp3,nusto.mp3,1,nusty,nusto
18,1765235569663,08/12/2025 23:12:49,1765235556527,-5,08/12/2025 18:12:36,250842,10,task-1ie9,,51270061,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Form Recognition (2AFC),4,day1done,attention_pass,audio-Success,,,A,,,,,eligible,formRecog_all,formRecog_all,9,2,3,response,Zone1,response_keyboard,131.7000000011176,,1,1,1,,,,,,2,recog-trial,nusty.mp3,nusto.mp3,1,nusty,nusto
19,1765235570659,08/12/2025 23:12:50,1765235557520,-5,08/12/2025 18:12:37,250842,10,task-1ie9,,51270061,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Form Recognition (2AFC),4,day1done,attention_pass,audio-Success,,,A,,,,,eligible,formRecog_all,formRecog_all,9,2,4,ITI,Zone1,timelimit_screen,1000.8999999999978,,,0,,,,,1,,2,recog-trial,nusty.mp3,nusto.mp3,1,nusty,nusto
20,1765235572342,08/12/2025 23:12:52,1765235559189,-5,08/12/2025 18:12:39,250842,10,task-1ie9,,51270061,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Form Recognition (2AFC),4,day1done,attention_pass,audio-Success,,,A,,,,,eligible,formRecog_all,formRecog_all,17,3,1,opt1,Zone1,content_audio,1610.4000000003725,,,0,,,,,,,2,recog-trial,tesdar.mp3,tesdor.mp3,1,tesdar,tesdor
