Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-eqdz,branch-m64g,branch-jfu9,branch-n4qm,branch-vz7v,randomiser-q5z8,branch-gyqg,branch-lrfh,checkpoint-pq3t,checkpoint-p1b9,branch-pusb,Manipulation: Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,aud1,aud2,correctResponse,picture,ANSWER,incorrect
43,1765235694443,08/12/2025 23:14:54,1765235681296,-5,08/12/2025 18:14:41,250842,10,task-y5i7,,51270075,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Pic Recognition (2AFC),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,picRecog_A,picRecog_A,4,11,1,opt1,Zone1,content_audio,1611.0999999996275,,,0,,,,,,,1,recog-trial,femod.mp3,wabon.mp3,1,hoverboard.PNG,femod,wabon
44,1765235696371,08/12/2025 23:14:56,1765235682935,-5,08/12/2025 18:14:42,250842,10,task-y5i7,,51270075,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Pic Recognition (2AFC),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,picRecog_A,picRecog_A,4,11,2,opt2,Zone1,content_audio,1615.5,,,0,,,,,,,1,recog-trial,femod.mp3,wabon.mp3,1,hoverboard.PNG,femod,wabon
45,1765235696527,08/12/2025 23:14:56,1765235683380,-5,08/12/2025 18:14:43,250842,10,task-y5i7,,51270075,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Pic Recognition (2AFC),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,picRecog_A,picRecog_A,4,11,3,response,Zone1,response_keyboard,422.40000000037253,,1,1,1,,,,,,1,recog-trial,femod.mp3,wabon.mp3,1,hoverboard.PNG,femod,wabon
46,1765235697530,08/12/2025 23:14:57,1765235684380,-5,08/12/2025 18:14:44,250842,10,task-y5i7,,51270075,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Pic Recognition (2AFC),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,picRecog_A,picRecog_A,4,11,4,ITI,Zone1,timelimit_screen,1000.9000000000015,,,0,,,,,1,,1,recog-trial,femod.mp3,wabon.mp3,1,hoverboard.PNG,femod,wabon
47,1765235699178,08/12/2025 23:14:59,1765235686035,-5,08/12/2025 18:14:46,250842,10,task-y5i7,,51270075,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Pic Recognition (2AFC),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,picRecog_A,picRecog_A,14,12,1,opt1,Zone1,content_audio,1595.7000000011176,,,0,,,,,,,1,recog-trial,tesdar.mp3,pungus.mp3,1,ride.PNG,tesdar,pungus
48,1765235700847,08/12/2025 23:15:00,1765235687695,-5,08/12/2025 18:14:47,250842,10,task-y5i7,,51270075,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Pic Recognition (2AFC),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,picRecog_A,picRecog_A,14,12,2,opt2,Zone1,content_audio,1636.2999999988824,,,0,,,,,,,1,recog-trial,tesdar.mp3,pungus.mp3,1,ride.PNG,tesdar,pungus
49,1765235701260,08/12/2025 23:15:01,1765235688115,-5,08/12/2025 18:14:48,250842,10,task-y5i7,,51270075,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Pic Recognition (2AFC),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,picRecog_A,picRecog_A,14,12,3,response,Zone1,response_keyboard,396.5,,1,1,1,,,,,,1,recog-trial,tesdar.mp3,pungus.mp3,1,ride.PNG,tesdar,pungus
50,1765235702253,08/12/2025 23:15:02,1765235689102,-5,08/12/2025 18:14:49,250842,10,task-y5i7,,51270075,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Pic Recognition (2AFC),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,picRecog_A,picRecog_A,14,12,4,ITI,Zone1,timelimit_screen,1001.0999999999985,,,0,,,,,1,,1,recog-trial,tesdar.mp3,pungus.mp3,1,ride.PNG,tesdar,pungus
51,1765235703929,08/12/2025 23:15:03,1765235690779,-5,08/12/2025 18:14:50,250842,10,task-y5i7,,51270075,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Pic Recognition (2AFC),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,picRecog_A,picRecog_A,8,13,1,opt1,Zone1,content_audio,1619.5,,,0,,,,,,,1,recog-trial,peflin.mp3,regby.mp3,1,drink.PNG,peflin,regby
52,1765235705886,08/12/2025 23:15:05,1765235692440,-5,08/12/2025 18:14:52,250842,10,task-y5i7,,51270075,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Pic Recognition (2AFC),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,picRecog_A,picRecog_A,8,13,2,opt2,Zone1,content_audio,1637.199999999255,,,0,,,,,,,1,recog-trial,peflin.mp3,regby.mp3,1,drink.PNG,peflin,regby
53,1765235706015,08/12/2025 23:15:06,1765235692762,-5,08/12/2025 18:14:52,250842,10,task-y5i7,,51270075,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Pic Recognition (2AFC),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,picRecog_A,picRecog_A,8,13,3,response,Zone1,response_keyboard,298.90000000037253,,1,1,1,,,,,,1,recog-trial,peflin.mp3,regby.mp3,1,drink.PNG,peflin,regby
54,1765235706902,08/12/2025 23:15:06,1765235693756,-5,08/12/2025 18:14:53,250842,10,task-y5i7,,51270075,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Pic Recognition (2AFC),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,picRecog_A,picRecog_A,8,13,4,ITI,Zone1,timelimit_screen,1000.8999999999942,,,0,,,,,1,,1,recog-trial,peflin.mp3,regby.mp3,1,drink.PNG,peflin,regby
