Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-eqdz,branch-m64g,branch-jfu9,branch-n4qm,branch-vz7v,randomiser-q5z8,branch-gyqg,branch-lrfh,checkpoint-pq3t,checkpoint-p1b9,branch-pusb,Manipulation: Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,audio_cue,item,written_cue
15,1765580436857,12/12/2025 23:00:36,1765580417149,-5,12/12/2025 18:00:17,250842,10,task-qyn5,,51378508,5cfc7489e289a80016b6e29f,14743093,,complete,,693ec363e28337b737f00921,computer,Desktop or Laptop,Windows 10,Firefox 145.0,2048x1152,1997x1027,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,8,1,3,Screen 2,advancementZone,audio_recording,7,,STARTED RECORDING,0,,,,,,,1,stemComp,re.mp3,regby,RE___
16,1765580442976,12/12/2025 23:00:42,1765580423398,-5,12/12/2025 18:00:23,250842,10,task-qyn5,,51378508,5cfc7489e289a80016b6e29f,14743093,,complete,,693ec363e28337b737f00921,computer,Desktop or Laptop,Windows 10,Firefox 145.0,2048x1152,1997x1027,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,8,1,3,Screen 2,Zone1,continue_button,6255,,,0,,,,,,,1,stemComp,re.mp3,regby,RE___
17,1765580443129,12/12/2025 23:00:43,1765580423403,-5,12/12/2025 18:00:23,250842,10,task-qyn5,,51378508,5cfc7489e289a80016b6e29f,14743093,,complete,,693ec363e28337b737f00921,computer,Desktop or Laptop,Windows 10,Firefox 145.0,2048x1152,1997x1027,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,8,1,3,Screen 2,advancementZone,audio_recording,6262,,STOPPED RECORDING,0,,,,,,,1,stemComp,re.mp3,regby,RE___
18,1765580443129,12/12/2025 23:00:43,1765580423403,-5,12/12/2025 18:00:23,250842,10,task-qyn5,,51378508,5cfc7489e289a80016b6e29f,14743093,,complete,,693ec363e28337b737f00921,computer,Desktop or Laptop,Windows 10,Firefox 145.0,2048x1152,1997x1027,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,8,1,3,Screen 2,advancementZone,audio_recording,6262,,TRANSCODING START,0,,,,,,,1,stemComp,re.mp3,regby,RE___
19,1765580443354,12/12/2025 23:00:43,1765580423779,-5,12/12/2025 18:00:23,250842,10,task-qyn5,,51378508,5cfc7489e289a80016b6e29f,14743093,,complete,,693ec363e28337b737f00921,computer,Desktop or Laptop,Windows 10,Firefox 145.0,2048x1152,1997x1027,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,8,1,3,Screen 2,advancementZone,audio_recording,6638,,TRANSCODING FINISH,0,,,,,,,1,stemComp,re.mp3,regby,RE___
20,1765580443503,12/12/2025 23:00:43,1765580423780,-5,12/12/2025 18:00:23,250842,10,task-qyn5,,51378508,5cfc7489e289a80016b6e29f,14743093,,complete,,693ec363e28337b737f00921,computer,Desktop or Laptop,Windows 10,Firefox 145.0,2048x1152,1997x1027,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,8,1,3,Screen 2,advancementZone,audio_recording,6638,,250842-10-14743093-task-qyn5-51378508-regby-2-3.mp3,0,,,,,,,1,stemComp,re.mp3,regby,RE___
21,1765580443503,12/12/2025 23:00:43,1765580423780,-5,12/12/2025 18:00:23,250842,10,task-qyn5,,51378508,5cfc7489e289a80016b6e29f,14743093,,complete,,693ec363e28337b737f00921,computer,Desktop or Laptop,Windows 10,Firefox 145.0,2048x1152,1997x1027,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,8,1,3,Screen 2,advancementZone,audio_recording,6638,,https://app.gorilla.sc/uploads/schedule/51378508?filename=regby-2-3.mp3,0,,,,,,,1,stemComp,re.mp3,regby,RE___
22,1765580444963,12/12/2025 23:00:44,1765580425391,-5,12/12/2025 18:00:25,250842,10,task-qyn5,,51378508,5cfc7489e289a80016b6e29f,14743093,,complete,,693ec363e28337b737f00921,computer,Desktop or Laptop,Windows 10,Firefox 145.0,2048x1152,1997x1027,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,10,2,1,Screen 3,Zone1,timelimit_screen,1500.2200000000012,,,0,,,,,1,,1,stemComp,pu.mp3,pungus,PU____
23,1765580446467,12/12/2025 23:00:46,1765580426890,-5,12/12/2025 18:00:26,250842,10,task-qyn5,,51378508,5cfc7489e289a80016b6e29f,14743093,,complete,,693ec363e28337b737f00921,computer,Desktop or Laptop,Windows 10,Firefox 145.0,2048x1152,1997x1027,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,10,2,2,Screen 1,audioCue,content_audio,1497,,,0,,,,,,,1,stemComp,pu.mp3,pungus,PU____
24,1765580446627,12/12/2025 23:00:46,1765580426898,-5,12/12/2025 18:00:26,250842,10,task-qyn5,,51378508,5cfc7489e289a80016b6e29f,14743093,,complete,,693ec363e28337b737f00921,computer,Desktop or Laptop,Windows 10,Firefox 145.0,2048x1152,1997x1027,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,10,2,3,Screen 2,advancementZone,audio_recording,6,,STARTED RECORDING,0,,,,,,,1,stemComp,pu.mp3,pungus,PU____
