Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-eqdz,branch-m64g,branch-jfu9,branch-n4qm,branch-vz7v,randomiser-q5z8,branch-gyqg,branch-lrfh,checkpoint-pq3t,checkpoint-p1b9,branch-pusb,Manipulation: Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,aud1,aud2,correctResponse,ANSWER,foil
53,1764727940054,03/12/2025 02:12:20,1764727939981,-8,02/12/2025 18:12:19,250842,5,task-1ie9,,51104261,BLINDED,14665152,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1920x1200,1709x965,day1done,,,Form Recognition (2AFC),4,day1done,attention_pass,audio-Success,,,A,,,,,eligible,formRecog_all,formRecog_all,16,11,2,opt2,Zone1,content_audio,1573.5999999940395,,,0,,,,,,,2,recog-trial,tabroc.mp3,tabric.mp3,2,tabric,tabroc
54,1764727940987,03/12/2025 02:12:20,1764727940889,-8,02/12/2025 18:12:20,250842,5,task-1ie9,,51104261,BLINDED,14665152,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1920x1200,1709x965,day1done,,,Form Recognition (2AFC),4,day1done,attention_pass,audio-Success,,,A,,,,,eligible,formRecog_all,formRecog_all,16,11,3,response,Zone1,response_keyboard,903.2999999821186,,1,1,,,,,,,2,recog-trial,tabroc.mp3,tabric.mp3,2,tabric,tabroc
55,1764727941970,03/12/2025 02:12:21,1764727941882,-8,02/12/2025 18:12:21,250842,5,task-1ie9,,51104261,BLINDED,14665152,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1920x1200,1709x965,day1done,,,Form Recognition (2AFC),4,day1done,attention_pass,audio-Success,,,A,,,,,eligible,formRecog_all,formRecog_all,16,11,4,ITI,Zone1,timelimit_screen,1000.8000000000029,,,0,,,,,1,,2,recog-trial,tabroc.mp3,tabric.mp3,2,tabric,tabroc
56,1764727943590,03/12/2025 02:12:23,1764727943500,-8,02/12/2025 18:12:23,250842,5,task-1ie9,,51104261,BLINDED,14665152,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1920x1200,1709x965,day1done,,,Form Recognition (2AFC),4,day1done,attention_pass,audio-Success,,,A,,,,,eligible,formRecog_all,formRecog_all,8,12,1,opt1,Zone1,content_audio,1606.9000000059605,,,0,,,,,,,2,recog-trial,mowil.mp3,mowel.mp3,2,mowel,mowil
57,1764727945136,03/12/2025 02:12:25,1764727945058,-8,02/12/2025 18:12:25,250842,5,task-1ie9,,51104261,BLINDED,14665152,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1920x1200,1709x965,day1done,,,Form Recognition (2AFC),4,day1done,attention_pass,audio-Success,,,A,,,,,eligible,formRecog_all,formRecog_all,8,12,2,opt2,Zone1,content_audio,1552.4000000059605,,,0,,,,,,,2,recog-trial,mowil.mp3,mowel.mp3,2,mowel,mowil
58,1764727945576,03/12/2025 02:12:25,1764727945483,-8,02/12/2025 18:12:25,250842,5,task-1ie9,,51104261,BLINDED,14665152,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1920x1200,1709x965,day1done,,,Form Recognition (2AFC),4,day1done,attention_pass,audio-Success,,,A,,,,,eligible,formRecog_all,formRecog_all,8,12,3,response,Zone1,response_keyboard,419.59999999403954,,2,1,1,,,,,,2,recog-trial,mowil.mp3,mowel.mp3,2,mowel,mowil
59,1764727946564,03/12/2025 02:12:26,1764727946468,-8,02/12/2025 18:12:26,250842,5,task-1ie9,,51104261,BLINDED,14665152,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1920x1200,1709x965,day1done,,,Form Recognition (2AFC),4,day1done,attention_pass,audio-Success,,,A,,,,,eligible,formRecog_all,formRecog_all,8,12,4,ITI,Zone1,timelimit_screen,1000.8999999999942,,,0,,,,,1,,2,recog-trial,mowil.mp3,mowel.mp3,2,mowel,mowil
60,1764727948165,03/12/2025 02:12:28,1764727948065,-8,02/12/2025 18:12:28,250842,5,task-1ie9,,51104261,BLINDED,14665152,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1920x1200,1709x965,day1done,,,Form Recognition (2AFC),4,day1done,attention_pass,audio-Success,,,A,,,,,eligible,formRecog_all,formRecog_all,18,13,1,opt1,Zone1,content_audio,1586.4000000059605,,,0,,,,,,,2,recog-trial,vorgil.mp3,vorgal.mp3,2,vorgal,vorgil
61,1764727949698,03/12/2025 02:12:29,1764727949602,-8,02/12/2025 18:12:29,250842,5,task-1ie9,,51104261,BLINDED,14665152,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1920x1200,1709x965,day1done,,,Form Recognition (2AFC),4,day1done,attention_pass,audio-Success,,,A,,,,,eligible,formRecog_all,formRecog_all,18,13,2,opt2,Zone1,content_audio,1532.0999999940395,,,0,,,,,,,2,recog-trial,vorgil.mp3,vorgal.mp3,2,vorgal,vorgil
62,1764727949873,03/12/2025 02:12:29,1764727949636,-8,02/12/2025 18:12:29,250842,5,task-1ie9,,51104261,BLINDED,14665152,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1920x1200,1709x965,day1done,,,Form Recognition (2AFC),4,day1done,attention_pass,audio-Success,,,A,,,,,eligible,formRecog_all,formRecog_all,18,13,3,response,Zone1,response_keyboard,28.400000005960464,,2,1,1,,,,,,2,recog-trial,vorgil.mp3,vorgal.mp3,2,vorgal,vorgil
